Название,Текущая цена,Старая цена,Скидка,Рейтинг,Отзывы,Категория,Ссылка,Скидка_тг,Ценовой_сегмент,Индекс_популярности
"серьги базовая коллекция титан, нержавеющая сталь, стразы",757,757,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-bazovaja-kollektsija-titan-nerzhavejuschaja-stal-strazy-116799256/?c=750000000,0,Средний,0
"кольцо размер регулируемый бижутерный сплав, стразы, золотистый",106,106,0%,0,0,all,https://kaspi.kz/shop/p/kol-tso-razmer-reguliruemyi-bizhuternyi-splav-strazy-zolotistyi-123302233/?c=750000000,0,Бюджет,0
"пусеты белый бижутерный сплав, акрил",108,108,0%,0,0,all,https://kaspi.kz/shop/p/pusety-belyi-bizhuternyi-splav-akril-115934139/?c=750000000,0,Бюджет,0
"серьги базовая коллекция бижутерный сплав, медицинская сталь, стразы",139,139,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-bazovaja-kollektsija-bizhuternyi-splav-meditsinskaja-stal-strazy-131279086/?c=750000000,0,Бюджет,0
"серьги asphodel базовая коллекция бижутерный сплав, без вставок",187,187,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-asphodel-bazovaja-kollektsija-bizhuternyi-splav-bez-vstavok-122281018/?c=750000000,0,Бюджет,0
"серьги bright heart бижутерный сплав, без вставок",97,97,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-bright-heart-bizhuternyi-splav-bez-vstavok-117557472/?c=750000000,0,Бюджет,0
"серьги лепестки бижутерный сплав, без вставок",84,84,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-lepestki-bizhuternyi-splav-bez-vstavok-110853997/?c=750000000,0,Бюджет,0
"серьги базовая коллекция бижутерный сплав, без вставок",150,150,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-bazovaja-kollektsija-bizhuternyi-splav-bez-vstavok-114857831/?c=750000000,0,Бюджет,0
"серьги базовая коллекция бижутерный сплав, без вставок",260,260,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-bazovaja-kollektsija-bizhuternyi-splav-bez-vstavok-115273910/?c=750000000,0,Бюджет,0
"пусеты xuping jewelry базовая коллекция медицинская сталь, фианит",599,599,0%,0,0,all,https://kaspi.kz/shop/p/pusety-xuping-jewelry-bazovaja-kollektsija-meditsinskaja-stal-fianit-118229097/?c=750000000,0,Средний,0
"пусеты базовая коллекция медицинское золото, фианит",706,706,0%,0,0,all,https://kaspi.kz/shop/p/pusety-bazovaja-kollektsija-meditsinskoe-zoloto-fianit-115400325/?c=750000000,0,Средний,0
"серьги l бижутерный сплав, стразы",150,150,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-l-bizhuternyi-splav-strazy-110867978/?c=750000000,0,Бюджет,0
"пусеты adaline 0023 бижутерный сплав, искусственный жемчуг",130,130,0%,0,0,all,https://kaspi.kz/shop/p/pusety-adaline-0023-bizhuternyi-splav-iskusstvennyi-zhemchug-115138526/?c=750000000,0,Бюджет,0
"кольцо 30104873_524051 размер регулируемый бижутерный сплав, перламутр, золотистый",138,138,0%,0,0,all,https://kaspi.kz/shop/p/kol-tso-30104873-524051-razmer-reguliruemyi-bizhuternyi-splav-perlamutr-zolotistyi-115959663/?c=750000000,0,Бюджет,0
"nmb15 длина 17 см титан, оникс",377,377,0%,0,0,all,https://kaspi.kz/shop/p/nmb15-dlina-17-sm-titan-oniks-109836707/?c=750000000,0,Бюджет,0
"кольцо stainless steel размер 17 титан, стразы",250,250,0%,0,0,all,https://kaspi.kz/shop/p/kol-tso-stainless-steel-razmer-17-titan-strazy-107684977/?c=750000000,0,Бюджет,0
"серьги золото цветок медицинская сталь, без вставок",283,283,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-zoloto-tsvetok-meditsinskaja-stal-bez-vstavok-134150316/?c=750000000,0,Бюджет,0
"цепь stainless steel длина 45 см медицинская сталь, титан стекло",220,220,0%,0,0,all,https://kaspi.kz/shop/p/tsep-stainless-steel-dlina-45-sm-meditsinskaja-stal-titan-steklo-116354963/?c=750000000,0,Бюджет,0
"кольцо размер регулируемый бижутерный сплав, стразы",377,377,0%,0,0,all,https://kaspi.kz/shop/p/kol-tso-razmer-reguliruemyi-bizhuternyi-splav-strazy-128692885/?c=750000000,0,Бюджет,0
"серьги жемчужное сердце нержавеющая сталь, искусственный жемчуг",165,165,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-zhemchuzhnoe-serdtse-nerzhavejuschaja-stal-iskusstvennyi-zhemchug-114776487/?c=750000000,0,Бюджет,0
"серьги базовая коллекция бижутерный сплав, искусственный жемчуг",169,169,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-bazovaja-kollektsija-bizhuternyi-splav-iskusstvennyi-zhemchug-117229041/?c=750000000,0,Бюджет,0
цепь длина 35 см бижутерный сплав страз,170,170,0%,0,0,all,https://kaspi.kz/shop/p/tsep-dlina-35-sm-bizhuternyi-splav-straz-115980054/?c=750000000,0,Бюджет,0
"набор fashion jewelry размер регулируемый нержавеющая сталь, пластик",410,410,0%,0,0,all,https://kaspi.kz/shop/p/nabor-fashion-jewelry-razmer-reguliruemyi-nerzhavejuschaja-stal-plastik-109818197/?c=750000000,0,Бюджет,0
четки tufan гематит натуральный камень гематит,600,600,0%,0,0,all,https://kaspi.kz/shop/p/chetki-tufan-gematit-natural-nyi-kamen-gematit-152263613/?c=750000000,0,Средний,0
"чокер fashion jewelry длина 36 см бижутерный сплав бисер, пластик",220,220,0%,0,0,all,https://kaspi.kz/shop/p/choker-fashion-jewelry-dlina-36-sm-bizhuternyi-splav-biser-plastik-108602750/?c=750000000,0,Бюджет,0
"набор fashion jewelry базовая коллекция бижутерный сплав, титан, стразы, искусственный жемчуг",481,481,0%,0,0,all,https://kaspi.kz/shop/p/nabor-fashion-jewelry-bazovaja-kollektsija-bizhuternyi-splav-titan-strazy-iskusstvennyi-zhemchug-109101372/?c=750000000,0,Средний,0
"конго базовая коллекция медицинское золото, фианит",999,999,0%,0,0,all,https://kaspi.kz/shop/p/kongo-bazovaja-kollektsija-meditsinskoe-zoloto-fianit-114959520/?c=750000000,0,Премиум,0
"серьги бабочки-цепочки бижутерный сплав, искусственный камень",200,200,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-babochki-tsepochki-bizhuternyi-splav-iskusstvennyi-kamen--110853996/?c=750000000,0,Бюджет,0
"larey бабочка длина 45 см бижутерный сплав, стразы",870,870,0%,0,0,all,https://kaspi.kz/shop/p/larey-babochka-dlina-45-sm-bizhuternyi-splav-strazy-116088272/?c=750000000,0,Средний,0
"серьги xuping jewelry базовая коллекция медицинское золото, цирконий, хризоколла",885,885,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-xuping-jewelry-bazovaja-kollektsija-meditsinskoe-zoloto-tsirkonii-hrizokolla-120599201/?c=750000000,0,Средний,0
"серьги inizio n бижутерный сплав, акрил",139,139,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-inizio-n-bizhuternyi-splav-akril-120897692/?c=750000000,0,Бюджет,0
"larey 06533456545 длина 17 см текстиль, пластик",590,590,0%,0,0,all,https://kaspi.kz/shop/p/larey-06533456545-dlina-17-sm-tekstil-plastik-116320625/?c=750000000,0,Средний,0
"queen fair 3445929 длина 29 см текстиль, без вставок",229,229,0%,0,0,all,https://kaspi.kz/shop/p/queen-fair-3445929-dlina-29-sm-tekstil-bez-vstavok-103055873/?c=750000000,0,Бюджет,0
"серьги лепестки и жемчуг бижутерный сплав, искусственный жемчуг",174,174,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-lepestki-i-zhemchug-bizhuternyi-splav-iskusstvennyi-zhemchug-110853992/?c=750000000,0,Бюджет,0
"30207732_299819396 длина 20 см сталь, серебро, без вставок",199,199,0%,0,0,all,https://kaspi.kz/shop/p/30207732-299819396-dlina-20-sm-stal-serebro-bez-vstavok-119923235/?c=750000000,0,Бюджет,0
цепь larey длина 60 см бижутерный сплав эмаль,1270,1270,0%,0,0,all,https://kaspi.kz/shop/p/tsep-larey-8657776567-dlina-60-sm-bizhuternyi-splav-emal--116088275/?c=750000000,0,Премиум,0
"конго fashion jewelry бижутерный сплав, без вставок",295,295,0%,0,0,all,https://kaspi.kz/shop/p/kongo-fashion-jewelry-bizhuternyi-splav-bez-vstavok-118996655/?c=750000000,0,Бюджет,0
"пояс бижутерный сплав, без вставок",400,400,0%,0,0,all,https://kaspi.kz/shop/p/pojas-bizhuternyi-splav-bez-vstavok-114776769/?c=750000000,0,Бюджет,0
"пусеты базовая коллекция бижутерный сплав, искусственный жемчуг",139,139,0%,0,0,all,https://kaspi.kz/shop/p/pusety-bazovaja-kollektsija-bizhuternyi-splav-iskusstvennyi-zhemchug-114889344/?c=750000000,0,Бюджет,0
"конго sunrim базовая коллекция титан, нержавеющая сталь, медицинская сталь, без вставок",920,920,0%,0,0,all,https://kaspi.kz/shop/p/kongo-sunrim-bazovaja-kollektsija-titan-nerzhavejuschaja-stal-meditsinskaja-stal-bez-vstavok-142103244/?c=750000000,0,Средний,0
"larey бижутерный сплав, без вставок",1999,1999,0%,0,0,all,https://kaspi.kz/shop/p/larey-bizhuternyi-splav-bez-vstavok-145351936/?c=750000000,0,Премиум,0
"кольцо размер регулируемый бижутерный сплав, стразы",287,287,0%,0,0,all,https://kaspi.kz/shop/p/kol-tso-razmer-reguliruemyi-bizhuternyi-splav-strazy-128934948/?c=750000000,0,Бюджет,0
"кольцо 101104 размер регулируемый титан, фианит, серебристый",160,160,0%,0,0,all,https://kaspi.kz/shop/p/kol-tso-101104-razmer-reguliruemyi-titan-fianit-serebristyi-123047585/?c=750000000,0,Бюджет,0
цепь larey 1357622345 длина 60 см бижутерный сплав эмаль,990,990,0%,0,0,all,https://kaspi.kz/shop/p/tsep-larey-1357622345-dlina-60-sm-bizhuternyi-splav-emal--115169250/?c=750000000,0,Средний,0
"пусеты xuping jewelry xuping jewelry медицинское золото, фианит",430,430,0%,0,0,all,https://kaspi.kz/shop/p/pusety-xuping-jewelry-xuping-jewelry-meditsinskoe-zoloto-fianit-142739837/?c=750000000,0,Бюджет,0
"клипсы базовая коллекция бижутерный сплав, нержавеющая сталь, без вставок",152,152,0%,0,0,all,https://kaspi.kz/shop/p/klipsy-bazovaja-kollektsija-bizhuternyi-splav-nerzhavejuschaja-stal-bez-vstavok-119723471/?c=750000000,0,Бюджет,0
"shiny circle длина 38 см бижутерный сплав, стразы",188,188,0%,0,0,all,https://kaspi.kz/shop/p/shiny-circle-dlina-38-sm-bizhuternyi-splav-strazy-117837229/?c=750000000,0,Бюджет,0
"larey 09866777 длина 20 см бижутерный сплав, гематит, эмаль, стразы",999,999,0%,0,0,all,https://kaspi.kz/shop/p/larey-09866777-dlina-20-sm-bizhuternyi-splav-gematit-emal-strazy-117416742/?c=750000000,0,Премиум,0
"цепь xuping jewelry серьги,подвеска длина 1 см бижутерный сплав без вставок",604,604,0%,0,0,all,https://kaspi.kz/shop/p/tsep-xuping-jewelry-ser-gi-podveska-dlina-1-sm-bizhuternyi-splav-bez-vstavok-107675204/?c=750000000,0,Средний,0
"набор базовая коллекция бижутерный сплав, стразы",469,469,0%,0,0,all,https://kaspi.kz/shop/p/nabor-bazovaja-kollektsija-bizhuternyi-splav-strazy-136186080/?c=750000000,0,Средний,0
"титан, без вставок",788,788,0%,0,0,all,https://kaspi.kz/shop/p/titan-bez-vstavok-132075731/?c=750000000,0,Средний,0
"набор размер регулируемый нержавеющая сталь, без вставок",378,378,0%,0,0,all,https://kaspi.kz/shop/p/nabor-razmer-reguliruemyi-nerzhavejuschaja-stal-bez-vstavok-106814095/?c=750000000,0,Бюджет,0
"jivoy-zvuk788 длина 18 см пластик, стекло, стекло",400,400,0%,0,0,all,https://kaspi.kz/shop/p/jivoy-zvuk788-dlina-18-sm-plastik-steklo-steklo-136643450/?c=750000000,0,Бюджет,0
"кольцо размер регулируемый бижутерный сплав, эмаль, стразы",409,409,0%,0,0,all,https://kaspi.kz/shop/p/kol-tso-razmer-reguliruemyi-bizhuternyi-splav-emal-strazy-122330512/?c=750000000,0,Бюджет,0
"серьги бижутерный сплав, без вставок",259,259,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-bizhuternyi-splav-bez-vstavok-120982881/?c=750000000,0,Бюджет,0
"серьги базовая коллекция бижутерный сплав, без вставок",512,512,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-bazovaja-kollektsija-bizhuternyi-splav-bez-vstavok-110853993/?c=750000000,0,Средний,0
цепь adaline длина 40 см бижутерный сплав без вставок,228,228,0%,0,0,all,https://kaspi.kz/shop/p/tsep-adaline-dlina-40-sm-bizhuternyi-splav-bez-vstavok-116993450/?c=750000000,0,Бюджет,0
"браслет длина 17 см текстиль, бисер",339,339,0%,0,0,all,https://kaspi.kz/shop/p/18099313-braslet-krasnaja-nit-dlina-17-sm-tekstil-biser-116104960/?c=750000000,0,Бюджет,0
цепь 652663873 длина 45 см бижутерный сплав стекло,336,336,0%,0,0,all,https://kaspi.kz/shop/p/tsep-652663873-dlina-45-sm-bizhuternyi-splav-steklo-129580958/?c=750000000,0,Бюджет,0
"серьги бабочки медицинская сталь, эмаль",188,188,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-babochki-meditsinskaja-stal-emal--110103164/?c=750000000,0,Бюджет,0
"larey бижутерный сплав, эмаль, стразы",1390,1390,0%,0,0,all,https://kaspi.kz/shop/p/larey-bizhuternyi-splav-emal-strazy-145351942/?c=750000000,0,Премиум,0
"пусеты xuping jewelry медицинская сталь, фианит",300,300,0%,0,0,all,https://kaspi.kz/shop/p/pusety-xuping-jewelry-meditsinskaja-stal-fianit-112638161/?c=750000000,0,Бюджет,0
"цепь stainless steel n длина 45 см медь, бижутерный сплав без вставок",258,258,0%,0,0,all,https://kaspi.kz/shop/p/tsep-stainless-steel-n-dlina-45-sm-med-bizhuternyi-splav-bez-vstavok-106324602/?c=750000000,0,Бюджет,0
"серьги 2026 бижутерный сплав, без вставок",170,170,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-2026-bizhuternyi-splav-bez-vstavok-110853799/?c=750000000,0,Бюджет,0
"18437133_360595 длина 20 см медь, стразы",700,700,0%,0,0,all,https://kaspi.kz/shop/p/18437133-360595-dlina-20-sm-med-strazy-110853701/?c=750000000,0,Средний,0
"серьги базовая коллекция бижутерный сплав, искусственный камень, без вставок",1113,1113,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-bazovaja-kollektsija-bizhuternyi-splav-iskusstvennyi-kamen-bez-vstavok-116484627/?c=750000000,0,Премиум,0
"пусеты серьги цветы медицинская сталь, ювелирный сплав, бижутерный сплав, без вставок",238,238,0%,0,0,all,https://kaspi.kz/shop/p/pusety-ser-gi-tsvety-meditsinskaja-stal-juvelirnyi-splav-bizhuternyi-splav-bez-vstavok-115043254/?c=750000000,0,Бюджет,0
"серьги базовая коллекция бижутерный сплав, без вставок",450,450,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-bazovaja-kollektsija-bizhuternyi-splav-bez-vstavok-117556301/?c=750000000,0,Средний,0
чокер fashion jewelry длина 40 см бижутерный сплав жемчуг,350,350,0%,0,0,all,https://kaspi.kz/shop/p/choker-fashion-jewelry-dlina-40-sm-bizhuternyi-splav-zhemchug-116262660/?c=750000000,0,Бюджет,0
"серьги элегантность и стиль бижутерный сплав, нержавеющая сталь, без вставок",398,398,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-elegantnost-i-stil-bizhuternyi-splav-nerzhavejuschaja-stal-bez-vstavok-135617875/?c=750000000,0,Бюджет,0
"серьги бижутерный сплав, эмаль",169,169,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-kruglogodichnyi-bizhuternyi-splav-emal--116320598/?c=750000000,0,Бюджет,0
бусы nk168 длина 30 см натуральный янтарь янтарь,4594,4594,0%,0,0,all,https://kaspi.kz/shop/p/busy-nk168-dlina-30-sm-natural-nyi-jantar-jantar--120277739/?c=750000000,0,Премиум,0
"серьги базовая коллекция бижутерный сплав, без вставок",185,185,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-bazovaja-kollektsija-bizhuternyi-splav-bez-vstavok-115026882/?c=750000000,0,Бюджет,0
"чокер длина 35 см бижутерный сплав, бисер без вставок",400,400,0%,0,0,all,https://kaspi.kz/shop/p/choker-dlina-35-sm-bizhuternyi-splav-biser-bez-vstavok-117701429/?c=750000000,0,Бюджет,0
"серьги n бижутерный сплав, стразы",195,195,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-n-bizhuternyi-splav-strazy-109090969/?c=750000000,0,Бюджет,0
"серьги larey пятилистник бижутерный сплав, стразы, искусственный жемчуг",790,790,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-larey-pjatilistnik-bizhuternyi-splav-strazy-iskusstvennyi-zhemchug-141483017/?c=750000000,0,Средний,0
"серьги xuping jewelry n бижутерный сплав, без вставок",225,225,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-xuping-jewelry-n-bizhuternyi-splav-bez-vstavok-104879724/?c=750000000,0,Бюджет,0
"брошь бижутерный сплав, фианит",370,370,0%,0,0,all,https://kaspi.kz/shop/p/brosh-bizhuternyi-splav-fianit-130169943/?c=750000000,0,Бюджет,0
"брошь agni базовая коллекция бижутерный сплав, жемчуг",243,243,0%,0,0,all,https://kaspi.kz/shop/p/brosh-agni-bazovaja-kollektsija-bizhuternyi-splav-zhemchug-113439414/?c=750000000,0,Бюджет,0
"серьги montie бижутерный сплав, акрил",250,250,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-montie-bizhuternyi-splav-akril-130975352/?c=750000000,0,Бюджет,0
"браслет maristones 863104337 длина 19 см натуральный камень, гранат",923,923,0%,0,0,all,https://kaspi.kz/shop/p/braslet-maristones-863104337-dlina-19-sm-natural-nyi-kamen-granat-137964956/?c=750000000,0,Средний,0
"брошь fashion lady медь, бижутерный сплав, жемчуг, стразы",298,298,0%,0,0,all,https://kaspi.kz/shop/p/brosh-fashion-lady-med-bizhuternyi-splav-zhemchug-strazy-112189228/?c=750000000,0,Бюджет,0
"серьги larey noir touch бижутерный сплав, эмаль, стразы",890,890,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-larey-noir-touch-bizhuternyi-splav-emal-strazy-144908267/?c=750000000,0,Средний,0
"ql021 длина 17 см искусственный камень, бижутерный сплав",588,588,0%,0,0,all,https://kaspi.kz/shop/p/ql021-dlina-17-sm-iskusstvennyi-kamen-bizhuternyi-splav-136879395/?c=750000000,0,Средний,0
"конго xuping jewelry медицинское золото, без вставок",300,300,0%,0,0,all,https://kaspi.kz/shop/p/kongo-xuping-jewelry-meditsinskoe-zoloto-bez-vstavok-115599289/?c=750000000,0,Бюджет,0
"брошь fashion jewelry медь, бижутерный сплав, стекло, стразы",398,398,0%,0,0,all,https://kaspi.kz/shop/p/brosh-fashion-jewelry-bazovaja-kollektsija-med-bizhuternyi-splav-steklo-strazy-123618144/?c=750000000,0,Бюджет,0
"набор базовая коллекция бижутерный сплав, жемчуг, стразы",399,399,0%,0,0,all,https://kaspi.kz/shop/p/nabor-bazovaja-kollektsija-bizhuternyi-splav-zhemchug-strazy-136186134/?c=750000000,0,Бюджет,0
"billiza длина 16 см бижутерный сплав, без вставок",190,190,0%,0,0,all,https://kaspi.kz/shop/p/billiza-silver-bracelet-with-leaves-01-dlina-16-sm-bizhuternyi-splav-bez-vstavok-132869548/?c=750000000,0,Бюджет,0
"серьги базовая коллекция бижутерный сплав, стразы",124,124,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-bazovaja-kollektsija-bizhuternyi-splav-strazy-134747932/?c=750000000,0,Бюджет,0
"набор бижутерный сплав, медицинская сталь, синтетический циркон",947,947,0%,0,0,all,https://kaspi.kz/shop/p/nabor-bizhuternyi-splav-meditsinskaja-stal-sinteticheskii-tsirkon-145415622/?c=750000000,0,Средний,0
"серьги fashion jewelry базовая коллекция бижутерный сплав, искусственный жемчуг",1000,1000,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-fashion-jewelry-bazovaja-kollektsija-bizhuternyi-splav-iskusstvennyi-zhemchug-109852829/?c=750000000,0,Премиум,0
"larey бижутерный сплав, искусственный жемчуг",1410,1410,0%,0,0,all,https://kaspi.kz/shop/p/larey-bizhuternyi-splav-iskusstvennyi-zhemchug-142860667/?c=750000000,0,Премиум,0
"серьги xuping jewelry xuping jewelry медицинская сталь, фианит",776,776,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-xuping-jewelry-xuping-jewelry-meditsinskaja-stal-fianit-104141843/?c=750000000,0,Средний,0
"конго серебро россии 2873 вес 2.5 г серебро, фианит",1800,1800,0%,0,0,all,https://kaspi.kz/shop/p/kongo-serebro-rossii-2873-ves-2-5-g-serebro-fianit-106940067/?c=750000000,0,Премиум,0
"бижутерный сплав, без вставок",100,100,0%,0,0,all,https://kaspi.kz/shop/p/bizhuternyi-splav-bez-vstavok-109153848/?c=750000000,0,Бюджет,0
"кафф fashion jewelry бижутерный сплав, бисер",213,213,0%,0,0,all,https://kaspi.kz/shop/p/kaff-fashion-jewelry-n-bizhuternyi-splav-biser-106419414/?c=750000000,0,Бюджет,0
"конго xuping jewelry базовая коллекция бижутерный сплав, нержавеющая сталь, ювелирный сплав, без вставок",299,299,0%,0,0,all,https://kaspi.kz/shop/p/kongo-xuping-jewelry-bazovaja-kollektsija-bizhuternyi-splav-nerzhavejuschaja-stal-juvelirnyi-splav-bez-vstavok-117365666/?c=750000000,0,Бюджет,0
"кольцо размер регулируемый бижутерный сплав, ювелирная смола",187,187,0%,0,0,all,https://kaspi.kz/shop/p/kol-tso-razmer-reguliruemyi-bizhuternyi-splav-juvelirnaja-smola-120340598/?c=750000000,0,Бюджет,0
"sanda 25780 длина 18 см натуральный камень, агат",4800,4800,0%,0,0,all,https://kaspi.kz/shop/p/sanda-25780-dlina-18-sm-natural-nyi-kamen-agat-119722840/?c=750000000,0,Премиум,0
"цепь длина 40 см бижутерный сплав пластик, страз",193,193,0%,0,0,all,https://kaspi.kz/shop/p/tsep-dlina-40-sm-bizhuternyi-splav-plastik-straz-119121647/?c=750000000,0,Бюджет,0
"серьги larey танец бабочки бижутерный сплав, стразы, искусственный жемчуг",790,790,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-larey-tanets-babochki-bizhuternyi-splav-strazy-iskusstvennyi-zhemchug-144522624/?c=750000000,0,Средний,0
"stainless steel v7284 длина 23 см нержавеющая сталь, без вставок",1646,1646,0%,0,0,all,https://kaspi.kz/shop/p/stainless-steel-v7284-dlina-23-sm-nerzhavejuschaja-stal-bez-vstavok-117602712/?c=750000000,0,Премиум,0
"18639243_140917605zhaqsylyqkor длина 20 см, вес 2 г серебро, плетение отсутствует",870,870,0%,0,0,all,https://kaspi.kz/shop/p/18639243-140917605zhaqsylyqkor-dlina-20-sm-ves-2-g-serebro-pletenie-otsutstvuet-116764259/?c=750000000,0,Средний,0
"кольцо размер регулируемый бижутерный сплав, стразы",199,199,0%,0,0,all,https://kaspi.kz/shop/p/kol-tso-razmer-reguliruemyi-bizhuternyi-splav-strazy-111186333/?c=750000000,0,Бюджет,0
"larey 74335664344 длина 27 см текстиль, без вставок",590,590,0%,0,0,all,https://kaspi.kz/shop/p/larey-74335664344-dlina-27-sm-tekstil-bez-vstavok-114878680/?c=750000000,0,Средний,0
"серьги larey noir dot бижутерный сплав, эмаль",999,999,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-larey-noir-dot-bizhuternyi-splav-emal--145819362/?c=750000000,0,Премиум,0
"серьги larey shain gold бижутерный сплав, без вставок",890,890,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-larey-shain-gold-bizhuternyi-splav-bez-vstavok-145306262/?c=750000000,0,Средний,0
